School Name,City,ZIP Code,Student Population,AP Participation,AP Math Participation,Teacher Qualification,Student-Teacher Ratio,Whites,Blacks,Two or More Races,Native Americans,Asians,Native Hawaiians or Pacific Islanders,Hispanics,Female,Male,Students from Low-Income Families,Arizona School Score,Dropout Rate,Four-year Graduation Rate,Funding per Student,ELA Score,Math Score
Aspc-Phoenix/Globe,Phoenix,85003,"1,000",10%,8%,80%,20:01,60,20,5,3,5,2,30,48,52,40%,5,0.03%,92%,"$8,000",82.3,78.9
Jail-Maricopa County Sheriffs Office,Phoenix,85003,100,2%,1%,80%,10:01,50,40,5,3,2,0,35,45,55,25%,6,0.08%,65%,"$5,200",64.5,60.2
Asu Preparatory Academy- Phoenix Elementary,Phoenix,85004,600,5%,4%,85%,18:01,70,10,5,2,8,2,20,55,45,28%,4,0.01%,93%,"$8,500",82.4,78.1
Asu Preparatory Academy- Phoenix High School,Phoenix,85004,800,7%,6%,88%,21:01,65,12,4,3,8,2,22,54,46,35%,6,0.02%,91%,"$8,200",81.7,77.3
Ombudsman - Charter Metro,Phoenix,85004,400,5%,4%,80%,17:01,50,30,10,5,8,2,40,47,53,35%,6,0.05%,73%,"$5,700",70.2,66.8
Rcb Medical Arts Academy,Phoenix,85006,150,2%,1%,90%,14:01,55,10,5,2,25,1,30,58,42,12%,5,0.01%,94%,"$8,400",82.3,79
Kaizen Education Foundation DBA Maya High School,Phoenix,85007,600,12%,10%,75%,19:01,40,30,20,5,3,2,45,42,58,45%,6,0.06%,72%,"$5,500",70,65.9
Metropolitan Arts Institute,Phoenix,85007,400,8%,6%,75%,18:01,50,30,10,5,5,2,45,42,58,30%,5,0.05%,71%,"$5,700",70.2,66.8
Phoenix Union Bioscience High School,Phoenix,85007,500,12%,10%,80%,20:01,40,25,5,3,20,2,30,50,50,25%,9,0.01%,91%,"$8,000",81.6,78.3
Tumbleweed Transitional Learning Center,Phoenix,85007,100,2%,1%,95%,12:01,70,5,3,2,20,0,25,58,42,8%,7,0.00%,96%,"$8,100",83.2,79.9
Arizona Agribusiness & Equine Center - Estrella,Avondale,85007,480,1%,1%,100%,10:01,50,7,1,1,4,0,36,58,42,40%,3,0.00%,100.00%,N/A,0.7,0.6
Cyber High School,Phoenix,85008,300,3%,2%,70%,25:01:00,30,45,10,5,5,2,45,40,60,55%,8,0.06%,71%,"$5,600",69.8,65.7
Hope High School,Phoenix,85008,400,5%,4%,90%,15:01,70,5,10,5,5,2,15,58,42,5%,3,0.02%,89%,"$7,200",80.5,76.9
Ombudsman - Charter Southeast,Phoenix,85008,500,8%,6%,80%,18:01,50,30,10,5,5,2,40,47,53,30%,5,0.04%,76%,"$5,800",72.1,68.3
Phoenix College Preparatory Academy,Phoenix,85008,600,10%,8%,75%,22:01,55,12,6,3,20,1,30,53,47,28%,7,0.02%,89%,"$7,700",80.5,77.1
Vista Peak,Phoenix,85008,300,5%,4%,90%,18:01,60,10,5,2,25,1,30,57,43,22%,7,0.01%,94%,"$8,300",83.6,80.3
Children First Academy - Phoenix,Phoenix,85009,500,5%,4%,80%,18:01,30,45,10,5,5,2,50,40,60,65%,4,0.08%,72%,"$5,800",71.3,67.8
Desert Valleys Region,Phoenix,85009,400,4%,3%,85%,20:01,60,15,8,5,8,2,20,49,51,18%,6,0.02%,89%,"$7,800",82.6,78.7
Kaizen Education Foundation DBA Quest High School,Phoenix,85009,500,8%,6%,85%,18:01,55,20,10,5,7,3,35,46,54,35%,6,0.03%,84%,"$6,400",75.6,71.3
New World Educational Center,Phoenix,85009,"1,000",15%,12%,75%,20:01,45,30,12,5,8,2,40,46,54,35%,6,0.04%,81%,"$6,300",74.3,70.1
Pan-american Charter School,Phoenix,85009,500,5%,4%,75%,18:01,40,20,5,2,25,1,30,55,45,25%,7,0.02%,88%,"$6,900",77.8,74.5
Prospect School,Phoenix,85009,250,3%,2%,85%,16:01,50,20,5,3,20,1,30,53,47,20%,9,0.01%,92%,"$8,200",81.7,78.4
Southwest Key Transitional Learning Center,Phoenix,85009,300,5%,4%,80%,19:01,50,20,6,4,15,2,35,52,48,30%,9,0.03%,88%,"$7,600",79.5,76.1
System Phoenix,Phoenix,85009,200,3%,2%,80%,15:01,55,15,5,3,20,1,35,47,53,18%,8,0.02%,90%,"$8,000",80.7,77.4
